comunidad,anio,salario_medio,tasa_paro_media
Andalucía,2008,19848.486666666668,17.7025
Aragón,2008,21236.763333333332,7.285
"Asturias, Principado de",2008,21521.343333333334,8.5
"Balears, Illes",2008,20267.2,10.1875
Canarias,2008,18371.923333333336,17.235
Cantabria,2008,20125.846666666668,7.16
Castilla - La Mancha,2008,19480.42,11.6625
Castilla y León,2008,19969.683333333334,9.6125
Cataluña,2008,23219.303333333333,8.885
Comunitat Valenciana,2008,19587.483333333334,11.9775
Extremadura,2008,18092.903333333335,15.35
Galicia,2008,18969.476666666666,8.635000000000002
"Madrid, Comunidad de",2008,25095.26,8.6
"Murcia, Región de",2008,18702.293333333335,12.430000000000001
"Navarra, Comunidad Foral de",2008,23063.75,6.83
País Vasco,2008,25192.399999999998,6.6225000000000005
"Rioja, La",2008,20529.346666666668,7.8925
Andalucía,2009,20728.806666666667,25.245
Aragón,2009,21927.8,13.0525
"Asturias, Principado de",2009,22354.48,13.42
"Balears, Illes",2009,21019.596666666668,17.97
Canarias,2009,18854.643333333337,26.0
Cantabria,2009,20671.170000000002,12.0
Castilla - La Mancha,2009,19973.106666666667,18.872500000000002
Castilla y León,2009,20801.156666666666,13.975
Cataluña,2009,23739.916666666668,16.2175
Comunitat Valenciana,2009,20289.383333333335,20.7625
Extremadura,2009,18952.45,20.63
Galicia,2009,19659.593333333334,12.4375
"Madrid, Comunidad de",2009,25747.320000000003,13.855
"Murcia, Región de",2009,20147.99,20.3275
"Navarra, Comunidad Foral de",2009,23300.343333333334,10.8325
País Vasco,2009,25851.61333333333,11.3375
"Rioja, La",2009,21040.716666666667,12.6475
Andalucía,2010,20783.216666666667,27.7725
Aragón,2010,22141.076666666664,14.955
"Asturias, Principado de",2010,22066.103333333333,15.915000000000001
"Balears, Illes",2010,21546.27666666667,20.18
Canarias,2010,19301.43,28.6
Cantabria,2010,20989.63,13.7
Castilla - La Mancha,2010,20189.616666666665,21.2225
Castilla y León,2010,20761.806666666667,15.7975
Cataluña,2010,24364.11666666667,17.6575
Comunitat Valenciana,2010,20605.18,22.8575
Extremadura,2010,19381.476666666666,22.970000000000002
Galicia,2010,20186.436666666665,15.325000000000001
"Madrid, Comunidad de",2010,25908.8,15.8425
