salario,comunidad,anio,ipc_valor,poder_adquisitivo
28049.94,Total Nacional,2023,109.01933333333334,257.29326296864775
26948.87,Total Nacional,2022,105.7216730769231,254.90393043999597
25896.82,Total Nacional,2021,99.99996794871795,258.9682830026548
25165.51,Total Nacional,2020,98.1816346153846,256.3158588526564
24395.98,Total Nacional,2019,98.30401923076923,248.16869331385425
24009.12,Total Nacional,2018,97.61655769230768,245.9533563524946
23646.5,Total Nacional,2017,96.29589743589743,245.5608248081501
23156.34,Total Nacional,2016,94.88607051282052,244.04361857171895
23106.3,Total Nacional,2015,94.81678205128203,243.69420159716944
22858.17,Total Nacional,2014,95.05655128205129,240.46917010670163
22697.86,Total Nacional,2013,95.36280128205128,238.01586881731086
22726.44,Total Nacional,2012,93.60912179487178,242.78018599299614
22899.35,Total Nacional,2011,91.63215384615384,249.9051810835632
22790.2,Total Nacional,2010,89.34158974358975,255.09060299249035
22511.47,Total Nacional,2009,87.915891025641,256.05689412207
21883.42,Total Nacional,2008,87.55081410256412,249.95107383426483
25051.51,Andalucía,2023,109.01933333333334,229.78960918246915
24094.32,Andalucía,2022,105.7216730769231,227.90331725519488
23154.99,Andalucía,2021,99.99996794871795,231.54997421473533
22323.85,Andalucía,2020,98.1816346153846,227.3729714060185
22060.99,Andalucía,2019,98.30401923076923,224.41595137846505
21805.92,Andalucía,2018,97.61655769230768,223.38341481711905
21404.28,Andalucía,2017,96.29589743589743,222.27613605500142
21268.41,Andalucía,2016,94.88607051282052,224.14680980098464
21381.03,Andalucía,2015,94.81678205128203,225.49837209657656
20840.3,Andalucía,2014,95.05655128205129,219.24106985706618
20782.03,Andalucía,2013,95.36280128205128,217.92595981460008
20891.63,Andalucía,2012,93.60912179487178,223.1794252464028
21350.98,Andalucía,2011,91.63215384615384,233.0075099603935
20964.36,Andalucía,2010,89.34158974358975,234.65398433325046
20906.33,Andalucía,2009,87.915891025641,237.79921645681316
20138.56,Andalucía,2008,87.55081410256412,230.02139050823743
26822.32,Aragón,2023,109.01933333333334,246.03269144922308
26012.71,Aragón,2022,105.7216730769231,246.0489816602992
25011.55,Aragón,2021,99.99996794871795,250.11558016525004
24113.57,Aragón,2020,98.1816346153846,245.60163511701728
23565.09,Aragón,2019,98.30401923076923,239.7164448045692
23531.83,Aragón,2018,97.61655769230768,241.06391944462453
23039.94,Aragón,2017,96.29589743589743,239.26190641026324
22248.76,Aragón,2016,94.88607051282052,234.47867405357312
22327.18,Aragón,2015,94.81678205128203,235.4770908374032
22095.79,Aragón,2014,95.05655128205129,232.4488917595747
22054.85,Aragón,2013,95.36280128205128,231.2730928988666
22103.79,Aragón,2012,93.60912179487178,236.1285906349665
22333.53,Aragón,2011,91.63215384615384,243.73027439142123
22316.69,Aragón,2010,89.34158974358975,249.79060775668836
22133.77,Aragón,2009,87.915891025641,251.76074247538028
21594.47,Aragón,2008,87.55081410256412,246.65070475189972
27916.6,"Asturias, Principado de",2023,109.01933333333334,256.07017715512234
26745.93,"Asturias, Principado de",2022,105.7216730769231,252.98436187762238
25046.6,"Asturias, Principado de",2021,99.99996794871795,250.4660802775898
24527.96,"Asturias, Principado de",2020,98.1816346153846,249.82228189707268
24865.89,"Asturias, Principado de",2019,98.30401923076923,252.94886409097055
23914.61,"Asturias, Principado de",2018,97.61655769230768,244.98518043813897
23609.67,"Asturias, Principado de",2017,96.29589743589743,245.178357839352
23095.83,"Asturias, Principado de",2016,94.88607051282052,243.4059064220539
22826.06,"Asturias, Principado de",2015,94.81678205128203,240.7386066704356
22045.29,"Asturias, Principado de",2014,95.05655128205129,231.91762906048774
21994.99,"Asturias, Principado de",2013,95.36280128205128,230.64538482826418
21750.66,"Asturias, Principado de",2012,93.60912179487178,232.3562018631348
22286.48,"Asturias, Principado de",2011,91.63215384615384,243.2168083423857
22241.39,"Asturias, Principado de",2010,89.34158974358975,248.94777520562104
22597.97,"Asturias, Principado de",2009,87.915891025641,257.0407890583651
21805.67,"Asturias, Principado de",2008,87.55081410256412,249.06301812859294
27537.0,"Balears, Illes",2023,109.01933333333334,252.5882259415761
27145.79,"Balears, Illes",2022,105.7216730769231,256.7665570355543
24134.73,"Balears, Illes",2021,99.99996794871795,241.34737735492862
23881.42,"Balears, Illes",2020,98.1816346153846,243.23713995547894
23325.33,"Balears, Illes",2019,98.30401923076923,237.27748043794284
22800.87,"Balears, Illes",2018,97.61655769230768,233.575845522739
22036.46,"Balears, Illes",2017,96.29589743589743,228.84110940104486
21478.34,"Balears, Illes",2016,94.88607051282052,226.35925256382026
21395.42,"Balears, Illes",2015,94.81678205128203,225.65013847894775
21322.08,"Balears, Illes",2014,95.05655128205129,224.30942120689022
20776.29,"Balears, Illes",2013,95.36280128205128,217.8657686297478
20960.53,"Balears, Illes",2012,93.60912179487178,223.91546462674202
21351.0,"Balears, Illes",2011,91.63215384615384,233.00772822438884
21613.6,"Balears, Illes",2010,89.34158974358975,241.92092464473717
21070.14,"Balears, Illes",2009,87.915891025641,239.66247460148944
