anio,salario_medio,ipv,indice_salario
2008,21665.789999999997,147.33625,99.99999999999999
2009,22338.180000000004,137.48325,103.1034640324678
2010,22668.38666666667,134.745,104.62755646882329
2011,22778.27666666667,124.82925,105.13476160650809
2012,22648.60666666667,107.6785,104.53626046715432
2013,22629.203333333335,96.26575,104.44670299736745
2014,22776.743333333332,96.55225,105.12768439707638
2015,23050.213333333333,100.00025,106.38990469922092
2016,23070.726666666666,104.66375,106.48458545322681
2017,23548.73,111.137,108.69084395260917
2018,23919.733333333334,118.595,110.4032363155617
2019,24337.460000000003,124.597,112.33128355808859
2020,25091.836666666666,127.232,115.81316290182204
2021,25820.486666666664,131.92775,119.17629897948179
2022,26896.843333333334,141.67525,124.14429999244585
2023,28004.58,147.2815,129.25713763495355
