comunidad,anio,precio_vivienda,salario_medio,tasa_paro_media,Transporte,Otros bienes y servicios,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Sanidad,Ocio y cultura,Bebidas alcohólicas y tabaco,Restaurantes y hoteles,Vestido y calzado,Comunicaciones,Enseñanza,Alimentos y bebidas no alcohólicas
"Balears, Illes",2022,157.03375,27118.660000000003,10.735,111.92141666666667,102.9165,106.24225,102.02891666666666,103.81591666666667,104.54316666666666,107.7115,102.98599999999999,98.84183333333334,102.80741666666667,110.57808333333334
"Asturias, Principado de",2014,98.5105,21922.66,21.1275,95.81933333333335,90.84966666666666,98.73983333333332,99.46175,105.16433333333333,95.25233333333334,90.07275,95.21175,100.03491666666667,95.32066666666667,91.10083333333334
"Murcia, Región de",2013,98.18025,20278.45,28.979999999999997,97.32324999999999,93.3945,100.08625,98.34541666666667,104.89575,91.50416666666666,91.14208333333333,94.77883333333334,105.95708333333334,91.21791666666667,92.31475
Cataluña,2021,141.62275,28124.543333333335,11.697500000000002,99.99975,99.99991666666666,100.00008333333334,100.0,99.99991666666666,100.00008333333334,100.00008333333334,100.0,100.0,100.00008333333334,100.00016666666666
Cataluña,2012,106.51325,24401.286666666667,22.515,95.84808333333332,85.53525,94.38475,90.74341666666668,98.65291666666667,87.07541666666667,89.48541666666667,94.11583333333333,110.97316666666667,87.71858333333334,85.37458333333332
"Rioja, La",2015,100.0,21683.86,15.3825,88.97408333333334,93.97216666666667,96.72508333333333,97.48308333333334,101.168,96.20375,92.12716666666667,94.99616666666667,97.89375,95.64183333333334,92.00325
Castilla y León,2012,117.85475,20531.676666666666,19.8,95.40158333333333,90.26941666666666,96.69216666666667,89.83049999999999,102.76633333333332,87.95766666666667,89.25391666666667,94.64108333333333,110.2805,86.82441666666666,87.29725
Andalucía,2018,111.3705,21730.24,22.985,95.93575,96.92191666666668,98.73816666666666,97.69383333333333,101.62841666666667,99.18425,96.28591666666667,97.14316666666667,103.46175,96.87166666666667,95.43275
Cataluña,2014,95.396,23899.92,20.325000000000003,94.77516666666668,89.235,95.90241666666667,96.01191666666666,99.24566666666668,93.53091666666667,90.73341666666666,94.47191666666667,99.70816666666667,97.81083333333333,87.87791666666668
Galicia,2023,132.30624999999998,25304.26,9.7175,113.04991666666666,109.30891666666666,112.72641666666668,103.218,106.48291666666667,112.11533333333334,114.94808333333333,104.16533333333332,101.79008333333333,100.74891666666667,124.25233333333334
Aragón,2015,100.0,22277.63666666667,16.29,90.62841666666667,92.62408333333333,99.19375000000001,96.50516666666665,102.76675,95.50108333333333,90.45966666666668,95.22075000000001,97.23958333333333,93.37741666666666,91.178
Andalucía,2011,120.47600000000001,21185.13666666667,30.130000000000003,91.73616666666668,88.39916666666666,99.62275,85.90141666666666,105.87283333333333,83.19283333333333,90.55975000000001,95.01208333333334,114.19525,81.19725,86.80008333333335
"Asturias, Principado de",2018,106.12324999999998,23857.486666666664,13.607499999999998,97.14233333333334,96.13675,98.43008333333334,99.62883333333333,103.16366666666666,99.11633333333333,95.50824999999999,97.25266666666666,103.90558333333333,101.35966666666667,94.8175
Cataluña,2011,126.52224999999999,24441.623333333333,19.16,91.2,83.30891666666666,92.97000000000001,84.59933333333333,97.60916666666667,82.23716666666667,88.128,93.69475,114.88241666666666,82.26141666666666,83.29275
Galicia,2018,107.673,22204.89,13.3375,96.63833333333334,96.89908333333334,97.51983333333334,96.31483333333334,101.69816666666667,99.87433333333333,94.22916666666667,97.11883333333333,103.61208333333333,95.61200000000001,94.7325
Cantabria,2022,136.34300000000002,25225.36,9.575,112.64308333333334,104.04925000000001,104.46050000000001,101.00458333333334,102.92933333333333,104.41375,105.86158333333333,100.99041666666666,98.87025,101.05966666666667,111.30733333333335
Cantabria,2014,97.21099999999998,21184.53,19.4175,95.34508333333333,91.73133333333334,98.88266666666668,93.78724999999999,104.18575,94.60066666666667,91.23458333333333,94.65541666666667,97.46383333333334,95.04950000000001,90.44850000000001
"Balears, Illes",2008,137.526,20267.2,10.1875,83.48583333333333,79.095,93.008,94.79233333333333,100.91758333333333,63.697,83.41391666666667,96.38583333333334,115.045,79.93808333333334,86.25866666666667
Comunitat Valenciana,2018,109.67625000000001,21964.61333333333,15.59,96.72141666666666,96.56,97.97500000000001,97.652,100.16216666666666,98.90525000000001,96.01566666666668,97.246,104.28649999999999,96.89458333333333,95.05399999999999
"Murcia, Región de",2018,106.14,21259.823333333334,16.7625,96.51875,97.53641666666665,98.61283333333334,97.37391666666667,101.15708333333333,97.733,95.66341666666666,97.13691666666666,103.65858333333334,97.207,95.57058333333333
"Asturias, Principado de",2013,100.7635,21983.456666666665,24.1275,96.75141666666667,90.27841666666666,99.86608333333334,100.584,107.1105,94.20491666666668,89.89791666666667,95.08449999999999,106.56116666666667,93.69875,91.44208333333334
Cantabria,2017,106.68275,22217.513333333336,13.565,91.31258333333334,95.24433333333333,98.99325,95.15249999999999,103.45558333333334,96.94566666666667,93.61575,96.18400000000001,99.83675,97.47133333333333,93.67666666666666
Galicia,2017,103.7165,21587.016666666666,15.6675,93.32158333333332,96.43216666666666,97.71175,95.7975,101.98975,97.64183333333334,92.392,96.31916666666666,101.39008333333334,94.47591666666666,93.36033333333334
"Madrid, Comunidad de",2011,122.82650000000001,25775.75,16.3375,90.59616666666666,85.44133333333333,98.20833333333333,92.09649999999999,98.95333333333333,81.94508333333333,90.52616666666667,93.77966666666667,113.1185,80.78224999999999,85.669
Galicia,2008,140.43925000000002,18969.476666666666,8.635000000000002,84.21825,83.82441666666666,93.16208333333333,86.29375,105.46008333333333,64.64725,81.13258333333333,96.05583333333334,117.27333333333333,77.74725,85.14216666666667
Castilla y León,2018,106.9205,21935.033333333336,12.105,94.30375,96.59658333333334,97.2595,97.47216666666667,101.5665,99.17899999999999,95.82908333333334,97.14216666666665,103.4805,100.00925,94.73641666666667
Canarias,2008,139.78199999999998,18371.923333333336,17.235,81.98424999999999,88.48783333333334,107.60066666666667,93.57741666666668,110.61816666666665,58.60675,85.74941666666666,102.27066666666667,114.63333333333333,76.57891666666667,92.18975
Andalucía,2013,96.923,20679.193333333333,36.2225,95.95975,92.14158333333334,100.59458333333333,96.695,105.41058333333332,93.41108333333334,90.92083333333333,95.17066666666666,105.57074999999999,91.43133333333333,91.04958333333333
Canarias,2010,131.10825,19301.43,28.6,81.29016666666666,90.69675000000001,107.17233333333333,90.75441666666667,108.08416666666666,62.140166666666666,87.26241666666665,99.71541666666667,112.82291666666667,81.64308333333334,90.15458333333333
Castilla - La Mancha,2020,109.02950000000001,22455.289999999997,17.67,92.97033333333333,98.84125,98.95841666666666,99.08708333333334,100.10891666666667,99.42583333333333,98.943,99.02816666666666,103.01316666666666,98.81083333333333,98.40249999999999
Castilla - La Mancha,2015,100.0,20511.22,26.345,90.7045,93.37475,98.84425,96.40616666666666,103.53733333333334,94.60633333333334,92.117,95.37075,96.59716666666667,94.18933333333332,90.42808333333333
Galicia,2011,129.10325,19881.366666666665,17.259999999999998,91.38600000000001,89.52166666666666,96.0405,85.00458333333333,103.41525,83.80991666666667,86.58283333333334,94.44749999999999,114.62183333333333,84.53366666666666,85.56816666666667
Comunitat Valenciana,2013,96.84025,20815.926666666666,28.05,96.49866666666667,92.01799999999999,99.5545,101.35449999999999,101.22608333333334,93.02333333333333,89.80241666666666,94.97691666666667,107.48141666666668,94.13133333333333,90.63616666666667
País Vasco,2012,108.614,26311.303333333333,15.5975,93.07391666666666,88.90283333333333,94.67625,85.85825,100.80441666666667,88.07308333333333,89.57708333333333,93.94458333333334,109.95049999999999,86.98858333333334,87.21633333333334
Andalucía,2022,136.7855,24004.433333333334,19.115000000000002,112.66758333333333,103.3695,106.46216666666668,100.79075,102.42916666666667,103.90425,106.80208333333333,102.66683333333333,98.757,101.68675,112.38291666666667
"Madrid, Comunidad de",2020,143.56,28741.553333333333,12.4975,93.43383333333334,99.23433333333332,99.52875,100.02766666666668,99.61183333333334,99.47116666666666,99.31675,98.95216666666666,102.99316666666668,98.73225000000001,98.00441666666667
