comunidad,anio,precio_vivienda,salario_medio,tasa_paro_media,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Sanidad,Comunicaciones,Restaurantes y hoteles,Transporte,Vestido y calzado,Otros bienes y servicios,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Enseñanza,Ocio y cultura,Cluster,Estado Financiero,Salario,Paro,Índice Vivienda,Nombre_Mapa
"Rioja, La",2023,133.66025,26369.47,9.375,123.39958333333334,112.0345,103.36266666666668,101.70258333333334,114.15258333333334,112.45325,110.50108333333333,109.66175,111.41183333333332,101.98058333333334,107.66708333333334,2,Intermedio,26369 €,9.4 %,133.7 (Base 100),La Rioja
Castilla y León,2023,129.538,25230.60666666667,9.6825,125.63033333333334,111.20108333333332,102.69041666666668,101.82441666666666,114.02025,112.8195,104.98,107.89366666666666,111.31358333333333,102.01183333333334,106.05691666666668,2,Intermedio,25231 €,9.7 %,129.5 (Base 100),Castilla-Leon
Castilla - La Mancha,2023,120.26825,24753.35666666667,13.215,126.23258333333332,112.505,102.55575,102.06475,115.15775,112.7095,106.76758333333332,108.67175,111.87275,104.43066666666664,105.87125,1,Vulnerable,24753 €,13.2 %,120.3 (Base 100),Castilla-La Mancha
Cataluña,2023,157.01,29980.4,9.345,122.00958333333334,111.70733333333334,104.44433333333336,101.71291666666669,112.17833333333334,112.02541666666669,107.50458333333334,107.62033333333332,112.05008333333332,102.67391666666668,108.16916666666668,0,Óptimo,29980 €,9.3 %,157.0 (Base 100),Cataluña
"Navarra, Comunidad Foral de",2023,132.56650000000002,31094.9,9.945,124.67783333333334,111.84925,103.96758333333334,101.35716666666669,111.79241666666668,113.27308333333332,105.84291666666668,107.64575,113.52991666666668,99.67175,108.846,0,Óptimo,31095 €,9.9 %,132.6 (Base 100),Navarra
Extremadura,2023,116.36375,23681.963333333333,17.3675,127.35741666666668,111.92566666666666,100.60625,101.598,112.2065,111.67441666666669,99.21483333333332,108.9265,108.65583333333336,103.13908333333336,103.213,1,Vulnerable,23682 €,17.4 %,116.4 (Base 100),Extremadura
"Madrid, Comunidad de",2023,163.4145,32174.00333333333,9.955,124.90741666666666,111.49925,100.49441666666668,102.1205,113.65116666666668,107.10258333333331,105.00958333333334,108.6355,110.4765,103.25466666666668,108.12691666666666,0,Óptimo,32174 €,10.0 %,163.4 (Base 100),Madrid
Andalucía,2023,143.56825,24950.653333333332,18.24,125.91483333333332,112.30333333333331,103.54916666666666,101.853,114.75325,112.96891666666666,103.87391666666667,108.23491666666666,111.97066666666666,104.61166666666666,106.29183333333332,1,Vulnerable,24951 €,18.2 %,143.6 (Base 100),Andalucia
Comunitat Valenciana,2023,135.92075,25590.47,12.8025,125.13066666666668,111.79616666666668,103.06616666666667,101.44658333333332,114.49258333333334,113.01291666666668,104.11683333333332,108.76566666666668,111.45316666666668,102.99058333333332,106.70866666666666,1,Vulnerable,25590 €,12.8 %,135.9 (Base 100),Valencia
Aragón,2023,137.11350000000002,26779.016666666663,8.575,124.73866666666667,111.0365,104.13833333333334,101.87116666666668,111.89208333333332,111.74483333333336,105.36283333333334,108.14191666666666,111.29358333333332,104.875,106.62891666666668,2,Intermedio,26779 €,8.6 %,137.1 (Base 100),Aragon
Galicia,2023,132.30624999999998,25304.26,9.7175,124.25233333333334,112.11533333333334,103.218,101.79008333333331,114.94808333333332,113.04991666666666,104.16533333333332,109.30891666666666,112.72641666666668,100.74891666666667,106.48291666666668,2,Intermedio,25304 €,9.7 %,132.3 (Base 100),Galicia
"Asturias, Principado de",2023,130.90075000000002,27919.646666666667,12.1225,123.45508333333332,111.71908333333332,100.88758333333334,101.61425,111.92208333333332,112.82791666666668,108.5745,107.75583333333331,112.25,105.28116666666666,106.93375,2,Intermedio,27920 €,12.1 %,130.9 (Base 100),Asturias
"Murcia, Región de",2023,132.505,25201.27666666667,12.775,125.89166666666668,112.45033333333332,103.32533333333332,101.71791666666668,113.10433333333332,112.8565,105.61025,108.23958333333331,113.69125,102.833,107.50425,1,Vulnerable,25201 €,12.8 %,132.5 (Base 100),Murcia
Canarias,2023,144.51,24025.69,16.075,127.00358333333334,108.5125,103.26625,101.8015,114.76241666666664,113.17025,98.04141666666668,108.70558333333334,111.20841666666666,104.81183333333333,107.07516666666668,1,Vulnerable,24026 €,16.1 %,144.5 (Base 100),Canarias
País Vasco,2023,136.31625,33381.40333333333,7.734999999999999,123.53991666666668,111.54566666666666,102.94491666666666,101.89158333333334,112.56233333333334,111.553,104.86958333333332,109.40883333333332,113.04391666666668,103.55491666666666,107.96633333333334,0,Óptimo,33381 €,7.7 %,136.3 (Base 100),Pais Vasco
Cantabria,2023,143.358,26480.45,8.1425,125.00575,112.36591666666668,102.20283333333332,102.25191666666667,113.54433333333331,111.53000000000002,103.0725,110.21316666666668,109.74775,103.5015,107.31858333333334,2,Intermedio,26480 €,8.1 %,143.4 (Base 100),Cantabria
"Balears, Illes",2023,163.44299999999998,27517.36666666667,10.48,123.52966666666669,113.12725,107.117,102.16166666666668,115.53341666666668,112.77766666666668,106.10558333333334,108.88616666666668,111.44308333333332,105.40975,108.78033333333332,0,Óptimo,27517 €,10.5 %,163.4 (Base 100),Baleares
