id_salario,id_periodo,id_indicador,id_geografia,sexo,sector_cnae,ocupacion_cno11,valor
1,386,8,1,Total,N/A,Total,28049.94
2,387,8,1,Total,N/A,Total,26948.87
3,388,8,1,Total,N/A,Total,25896.82
4,389,8,1,Total,N/A,Total,25165.51
5,390,8,1,Total,N/A,Total,24395.98
6,391,8,1,Total,N/A,Total,24009.12
7,392,8,1,Total,N/A,Total,23646.5
8,393,8,1,Total,N/A,Total,23156.34
9,394,8,1,Total,N/A,Total,23106.3
10,395,8,1,Total,N/A,Total,22858.17
11,396,8,1,Total,N/A,Total,22697.86
12,397,8,1,Total,N/A,Total,22726.44
13,398,8,1,Total,N/A,Total,22899.35
14,399,8,1,Total,N/A,Total,22790.2
15,400,8,1,Total,N/A,Total,22511.47
16,401,8,1,Total,N/A,Total,21883.42
17,386,8,1,Mujeres,N/A,Total,25591.31
18,387,8,1,Mujeres,N/A,Total,24359.82
19,388,8,1,Mujeres,N/A,Total,23175.95
20,389,8,1,Mujeres,N/A,Total,22467.48
21,390,8,1,Mujeres,N/A,Total,21682.02
22,391,8,1,Mujeres,N/A,Total,21011.89
23,392,8,1,Mujeres,N/A,Total,20607.85
24,393,8,1,Mujeres,N/A,Total,20131.41
25,394,8,1,Mujeres,N/A,Total,20051.58
26,395,8,1,Mujeres,N/A,Total,19744.82
27,396,8,1,Mujeres,N/A,Total,19514.58
28,397,8,1,Mujeres,N/A,Total,19537.33
29,398,8,1,Mujeres,N/A,Total,19767.59
30,399,8,1,Mujeres,N/A,Total,19735.22
31,400,8,1,Mujeres,N/A,Total,19502.02
32,401,8,1,Mujeres,N/A,Total,18910.62
33,386,8,1,Hombres,N/A,Total,30372.49
34,387,8,1,Hombres,N/A,Total,29381.84
35,388,8,1,Hombres,N/A,Total,28388.69
36,389,8,1,Hombres,N/A,Total,27642.52
37,390,8,1,Hombres,N/A,Total,26934.38
38,391,8,1,Hombres,N/A,Total,26738.19
39,392,8,1,Hombres,N/A,Total,26391.84
40,393,8,1,Hombres,N/A,Total,25924.43
41,394,8,1,Hombres,N/A,Total,25992.76
42,395,8,1,Hombres,N/A,Total,25727.24
43,396,8,1,Hombres,N/A,Total,25675.17
44,397,8,1,Hombres,N/A,Total,25682.05
45,398,8,1,Hombres,N/A,Total,25667.89
46,399,8,1,Hombres,N/A,Total,25479.74
47,400,8,1,Hombres,N/A,Total,25001.05
48,401,8,1,Hombres,N/A,Total,24203.33
49,386,8,1,Total,N/A,Directores y gerentes,60985.96
50,387,8,1,Total,N/A,Directores y gerentes,59478.63
51,388,8,1,Total,N/A,Directores y gerentes,59219.83
52,389,8,1,Total,N/A,Directores y gerentes,58023.75
53,390,8,1,Total,N/A,Directores y gerentes,56634.74
54,391,8,1,Total,N/A,Directores y gerentes,54341.32
55,392,8,1,Total,N/A,Directores y gerentes,51010.54
56,393,8,1,Total,N/A,Directores y gerentes,50530.8
57,394,8,1,Total,N/A,Directores y gerentes,51645.86
58,395,8,1,Total,N/A,Directores y gerentes,52512.99
59,396,8,1,Total,N/A,Directores y gerentes,51594.26
60,397,8,1,Total,N/A,Directores y gerentes,53165.69
61,398,8,1,Total,N/A,Directores y gerentes,54396.44
62,399,8,1,Total,N/A,Directores y gerentes,56602.81
63,400,8,1,Total,N/A,Directores y gerentes,58895.19
64,401,8,1,Total,N/A,Directores y gerentes,57259.16
65,386,8,1,Mujeres,N/A,Directores y gerentes,54003.51
66,387,8,1,Mujeres,N/A,Directores y gerentes,53368.32
67,388,8,1,Mujeres,N/A,Directores y gerentes,51456.82
68,389,8,1,Mujeres,N/A,Directores y gerentes,50788.17
69,390,8,1,Mujeres,N/A,Directores y gerentes,48667.65
70,391,8,1,Mujeres,N/A,Directores y gerentes,46657.12
71,392,8,1,Mujeres,N/A,Directores y gerentes,42901.26
72,393,8,1,Mujeres,N/A,Directores y gerentes,43718.01
73,394,8,1,Mujeres,N/A,Directores y gerentes,44921.93
74,395,8,1,Mujeres,N/A,Directores y gerentes,45540.99
75,396,8,1,Mujeres,N/A,Directores y gerentes,45033.41
76,397,8,1,Mujeres,N/A,Directores y gerentes,47131.4
77,398,8,1,Mujeres,N/A,Directores y gerentes,47807.16
78,399,8,1,Mujeres,N/A,Directores y gerentes,48552.77
79,400,8,1,Mujeres,N/A,Directores y gerentes,47714.85
80,401,8,1,Mujeres,N/A,Directores y gerentes,46842.64
81,386,8,1,Hombres,N/A,Directores y gerentes,65870.11
82,387,8,1,Hombres,N/A,Directores y gerentes,62991.86
83,388,8,1,Hombres,N/A,Directores y gerentes,63703.19
84,389,8,1,Hombres,N/A,Directores y gerentes,61698.18
85,390,8,1,Hombres,N/A,Directores y gerentes,60780.76
86,391,8,1,Hombres,N/A,Directores y gerentes,58850.23
87,392,8,1,Hombres,N/A,Directores y gerentes,55477.96
88,393,8,1,Hombres,N/A,Directores y gerentes,54142.69
89,394,8,1,Hombres,N/A,Directores y gerentes,55327.33
90,395,8,1,Hombres,N/A,Directores y gerentes,56422.49
91,396,8,1,Hombres,N/A,Directores y gerentes,55090.0
92,397,8,1,Hombres,N/A,Directores y gerentes,56164.73
93,398,8,1,Hombres,N/A,Directores y gerentes,57323.26
94,399,8,1,Hombres,N/A,Directores y gerentes,60352.41
95,400,8,1,Hombres,N/A,Directores y gerentes,62696.93
96,401,8,1,Hombres,N/A,Directores y gerentes,61997.66
97,386,8,1,Total,N/A,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,38857.91
98,387,8,1,Total,N/A,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,37456.34
99,388,8,1,Total,N/A,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,36101.1
