id_periodo,anio,trimestre,mes,fecha_iso
1,2025,,12,2025-12-01
2,2025,,11,2025-11-01
3,2025,,10,2025-10-01
4,2025,,9,2025-09-01
5,2025,,8,2025-08-01
6,2025,,7,2025-07-01
7,2025,,6,2025-06-01
8,2025,,5,2025-05-01
9,2025,,4,2025-04-01
10,2025,,3,2025-03-01
11,2025,,2,2025-02-01
12,2025,,1,2025-01-01
13,2024,,12,2024-12-01
14,2024,,11,2024-11-01
15,2024,,10,2024-10-01
16,2024,,9,2024-09-01
17,2024,,8,2024-08-01
18,2024,,7,2024-07-01
19,2024,,6,2024-06-01
20,2024,,5,2024-05-01
21,2024,,4,2024-04-01
22,2024,,3,2024-03-01
23,2024,,2,2024-02-01
24,2024,,1,2024-01-01
25,2023,,12,2023-12-01
26,2023,,11,2023-11-01
27,2023,,10,2023-10-01
28,2023,,9,2023-09-01
29,2023,,8,2023-08-01
30,2023,,7,2023-07-01
31,2023,,6,2023-06-01
32,2023,,5,2023-05-01
33,2023,,4,2023-04-01
34,2023,,3,2023-03-01
35,2023,,2,2023-02-01
36,2023,,1,2023-01-01
37,2022,,12,2022-12-01
38,2022,,11,2022-11-01
39,2022,,10,2022-10-01
40,2022,,9,2022-09-01
41,2022,,8,2022-08-01
42,2022,,7,2022-07-01
43,2022,,6,2022-06-01
44,2022,,5,2022-05-01
45,2022,,4,2022-04-01
46,2022,,3,2022-03-01
47,2022,,2,2022-02-01
48,2022,,1,2022-01-01
49,2021,,12,2021-12-01
50,2021,,11,2021-11-01
51,2021,,10,2021-10-01
52,2021,,9,2021-09-01
53,2021,,8,2021-08-01
54,2021,,7,2021-07-01
55,2021,,6,2021-06-01
56,2021,,5,2021-05-01
57,2021,,4,2021-04-01
58,2021,,3,2021-03-01
59,2021,,2,2021-02-01
60,2021,,1,2021-01-01
61,2020,,12,2020-12-01
62,2020,,11,2020-11-01
63,2020,,10,2020-10-01
64,2020,,9,2020-09-01
65,2020,,8,2020-08-01
66,2020,,7,2020-07-01
67,2020,,6,2020-06-01
68,2020,,5,2020-05-01
69,2020,,4,2020-04-01
70,2020,,3,2020-03-01
71,2020,,2,2020-02-01
72,2020,,1,2020-01-01
73,2019,,12,2019-12-01
74,2019,,11,2019-11-01
75,2019,,10,2019-10-01
76,2019,,9,2019-09-01
77,2019,,8,2019-08-01
78,2019,,7,2019-07-01
79,2019,,6,2019-06-01
80,2019,,5,2019-05-01
81,2019,,4,2019-04-01
82,2019,,3,2019-03-01
83,2019,,2,2019-02-01
84,2019,,1,2019-01-01
85,2018,,12,2018-12-01
86,2018,,11,2018-11-01
87,2018,,10,2018-10-01
88,2018,,9,2018-09-01
89,2018,,8,2018-08-01
90,2018,,7,2018-07-01
91,2018,,6,2018-06-01
92,2018,,5,2018-05-01
93,2018,,4,2018-04-01
94,2018,,3,2018-03-01
95,2018,,2,2018-02-01
96,2018,,1,2018-01-01
97,2017,,12,2017-12-01
98,2017,,11,2017-11-01
99,2017,,10,2017-10-01
100,2017,,9,2017-09-01
101,2017,,8,2017-08-01
102,2017,,7,2017-07-01
103,2017,,6,2017-06-01
104,2017,,5,2017-05-01
105,2017,,4,2017-04-01
106,2017,,3,2017-03-01
107,2017,,2,2017-02-01
108,2017,,1,2017-01-01
109,2016,,12,2016-12-01
110,2016,,11,2016-11-01
111,2016,,10,2016-10-01
112,2016,,9,2016-09-01
113,2016,,8,2016-08-01
114,2016,,7,2016-07-01
115,2016,,6,2016-06-01
116,2016,,5,2016-05-01
117,2016,,4,2016-04-01
118,2016,,3,2016-03-01
119,2016,,2,2016-02-01
120,2016,,1,2016-01-01
121,2015,,12,2015-12-01
122,2015,,11,2015-11-01
123,2015,,10,2015-10-01
124,2015,,9,2015-09-01
125,2015,,8,2015-08-01
126,2015,,7,2015-07-01
127,2015,,6,2015-06-01
128,2015,,5,2015-05-01
129,2015,,4,2015-04-01
130,2015,,3,2015-03-01
131,2015,,2,2015-02-01
132,2015,,1,2015-01-01
133,2014,,12,2014-12-01
134,2014,,11,2014-11-01
135,2014,,10,2014-10-01
136,2014,,9,2014-09-01
137,2014,,8,2014-08-01
138,2014,,7,2014-07-01
139,2014,,6,2014-06-01
140,2014,,5,2014-05-01
141,2014,,4,2014-04-01
142,2014,,3,2014-03-01
143,2014,,2,2014-02-01
144,2014,,1,2014-01-01
145,2013,,12,2013-12-01
146,2013,,11,2013-11-01
147,2013,,10,2013-10-01
148,2013,,9,2013-09-01
149,2013,,8,2013-08-01
150,2013,,7,2013-07-01
151,2013,,6,2013-06-01
152,2013,,5,2013-05-01
153,2013,,4,2013-04-01
154,2013,,3,2013-03-01
155,2013,,2,2013-02-01
156,2013,,1,2013-01-01
157,2012,,12,2012-12-01
158,2012,,11,2012-11-01
159,2012,,10,2012-10-01
160,2012,,9,2012-09-01
161,2012,,8,2012-08-01
162,2012,,7,2012-07-01
163,2012,,6,2012-06-01
164,2012,,5,2012-05-01
165,2012,,4,2012-04-01
166,2012,,3,2012-03-01
167,2012,,2,2012-02-01
168,2012,,1,2012-01-01
169,2011,,12,2011-12-01
170,2011,,11,2011-11-01
171,2011,,10,2011-10-01
172,2011,,9,2011-09-01
173,2011,,8,2011-08-01
174,2011,,7,2011-07-01
175,2011,,6,2011-06-01
176,2011,,5,2011-05-01
177,2011,,4,2011-04-01
178,2011,,3,2011-03-01
179,2011,,2,2011-02-01
180,2011,,1,2011-01-01
181,2010,,12,2010-12-01
182,2010,,11,2010-11-01
183,2010,,10,2010-10-01
184,2010,,9,2010-09-01
185,2010,,8,2010-08-01
186,2010,,7,2010-07-01
187,2010,,6,2010-06-01
188,2010,,5,2010-05-01
189,2010,,4,2010-04-01
190,2010,,3,2010-03-01
191,2010,,2,2010-02-01
192,2010,,1,2010-01-01
193,2009,,12,2009-12-01
194,2009,,11,2009-11-01
195,2009,,10,2009-10-01
196,2009,,9,2009-09-01
197,2009,,8,2009-08-01
198,2009,,7,2009-07-01
199,2009,,6,2009-06-01
200,2009,,5,2009-05-01
201,2009,,4,2009-04-01
202,2009,,3,2009-03-01
203,2009,,2,2009-02-01
204,2009,,1,2009-01-01
205,2008,,12,2008-12-01
206,2008,,11,2008-11-01
207,2008,,10,2008-10-01
208,2008,,9,2008-09-01
209,2008,,8,2008-08-01
210,2008,,7,2008-07-01
211,2008,,6,2008-06-01
212,2008,,5,2008-05-01
213,2008,,4,2008-04-01
214,2008,,3,2008-03-01
215,2008,,2,2008-02-01
216,2008,,1,2008-01-01
217,2007,,12,2007-12-01
218,2007,,11,2007-11-01
219,2007,,10,2007-10-01
220,2007,,9,2007-09-01
221,2007,,8,2007-08-01
222,2007,,7,2007-07-01
223,2007,,6,2007-06-01
224,2007,,5,2007-05-01
225,2007,,4,2007-04-01
226,2007,,3,2007-03-01
227,2007,,2,2007-02-01
228,2007,,1,2007-01-01
229,2006,,12,2006-12-01
230,2006,,11,2006-11-01
231,2006,,10,2006-10-01
232,2006,,9,2006-09-01
233,2006,,8,2006-08-01
234,2006,,7,2006-07-01
235,2006,,6,2006-06-01
236,2006,,5,2006-05-01
237,2006,,4,2006-04-01
238,2006,,3,2006-03-01
239,2006,,2,2006-02-01
240,2006,,1,2006-01-01
241,2005,,12,2005-12-01
242,2005,,11,2005-11-01
243,2005,,10,2005-10-01
244,2005,,9,2005-09-01
245,2005,,8,2005-08-01
246,2005,,7,2005-07-01
247,2005,,6,2005-06-01
248,2005,,5,2005-05-01
249,2005,,4,2005-04-01
250,2005,,3,2005-03-01
251,2005,,2,2005-02-01
252,2005,,1,2005-01-01
253,2004,,12,2004-12-01
254,2004,,11,2004-11-01
255,2004,,10,2004-10-01
256,2004,,9,2004-09-01
257,2004,,8,2004-08-01
258,2004,,7,2004-07-01
259,2004,,6,2004-06-01
260,2004,,5,2004-05-01
261,2004,,4,2004-04-01
262,2004,,3,2004-03-01
263,2004,,2,2004-02-01
264,2004,,1,2004-01-01
265,2003,,12,2003-12-01
266,2003,,11,2003-11-01
267,2003,,10,2003-10-01
268,2003,,9,2003-09-01
269,2003,,8,2003-08-01
270,2003,,7,2003-07-01
271,2003,,6,2003-06-01
272,2003,,5,2003-05-01
273,2003,,4,2003-04-01
274,2003,,3,2003-03-01
275,2003,,2,2003-02-01
276,2003,,1,2003-01-01
277,2002,,12,2002-12-01
278,2002,,11,2002-11-01
279,2002,,10,2002-10-01
280,2002,,9,2002-09-01
281,2002,,8,2002-08-01
282,2002,,7,2002-07-01
283,2002,,6,2002-06-01
284,2002,,5,2002-05-01
285,2002,,4,2002-04-01
286,2002,,3,2002-03-01
